Emoji,English,Spanish,French,German,Italian
😙,"Kissing Face With Smiling Eyes","Cara besando con ojos sonrientes","Visage embrassant avec yeux souriants","Küssendes Gesicht mit lächelnden Augen","Faccina che bacia con occhi sorridenti"
😚,"Kissing Face With Closed Eyes","Cara besando con ojos cerrados","Visage embrassant avec yeux fermés","Küssendes Gesicht mit geschlossenen Augen","Faccina che bacia con occhi chiusi"
☺,"Smiling Face","Cara sonriente","Visage souriant","Lächelndes Gesicht","Faccina sorridente"
🙂,"Slightly Smiling Face","Cara ligeramente sonriente","Visage légèrement souriant","Leicht lächelndes Gesicht","Faccina leggermente sorridente"
🤗,"Hugging Face","Cara abrazando","Visage enlaçant","Umarmendes Gesicht","Faccina che abbraccia"
🤩,"Star-Struck","Deslumbrado","Ébloui","Sternenhagelvoll","Abbagliato"
🤔,"Thinking Face","Cara pensativa","Visage pensif","Nachdenkliches Gesicht","Faccina pensierosa"
🤨,"Face With Raised Eyebrow","Cara con ceja levantada","Visage avec sourcil levé","Gesicht mit hochgezogener Augenbraue","Faccina con sopracciglio alzato"
😐,"Neutral Face","Cara neutral","Visage neutre","Neutrales Gesicht","Faccina neutra"
😑,"Expressionless Face","Cara inexpresiva","Visage inexpressif","Ausdrucksloses Gesicht","Faccina inespressiva"
😶,"Face Without Mouth","Cara sin boca","Visage sans bouche","Gesicht ohne Mund","Faccina senza bocca"
🙄,"Face With Rolling Eyes","Cara con ojos en blanco","Visage avec yeux révulsés","Gesicht mit verdrehten Augen","Faccina con occhi alzati"
😏,"Smirking Face","Cara con sonrisa pícara","Visage sourire en coin","Grinsendes Gesicht","Faccina con sorrisetto"
😣,"Persevering Face","Cara perseverante","Visage persévérant","Durchhaltendes Gesicht","Faccina perseverante"
😥,"Sad but Relieved Face","Cara triste pero aliviada","Visage triste mais soulagé","Trauriges, aber erleichtertes Gesicht","Faccina triste ma sollevata"
😮,"Face With Open Mouth","Cara con la boca abierta","Visage avec bouche ouverte","Gesicht mit offenem Mund","Faccina con bocca aperta"
🤐,"Zipper-Mouth Face","Cara con cremallera en la boca","Visage avec fermeture éclair sur la bouche","Gesicht mit Reißverschlussmund","Faccina con cerniera sulla bocca"
😯,"Hushed Face","Cara asombrada","Visage ébahi","Erstauntes Gesicht","Faccina sbalordita"
😪,"Sleepy Face","Cara somnolienta","Visage endormi","Schläfriges Gesicht","Faccina assonnata"
😫,"Tired Face","Cara cansada","Visage fatigué","Müdes Gesicht","Faccina stanca"
😴,"Sleeping Face","Cara durmiendo","Visage endormi","Schlafendes Gesicht","Faccina che dorme"
😌,"Relieved Face","Cara aliviada","Visage soulagé","Erleichtertes Gesicht","Faccina sollevata"
😛,"Face With Tongue","Cara con lengua afuera","Visage avec langue tirée","Gesicht mit herausgestreckter Zunge","Faccina con la lingua fuori"
😜,"Winking Face With Tongue","Cara guiñando con lengua afuera","Visage clin d'œil avec langue tirée","Zwinkerndes Gesicht mit herausgestreckter Zunge","Faccina che fa l'occhiolino con la lingua fuori"
😝,"Squinting Face With Tongue","Cara con ojos entrecerrados y lengua afuera","Visage avec yeux plissés et langue tirée","Gesicht mit zusammengekniffenen Augen und herausgestreckter Zunge","Faccina con occhi socchiusi e lingua fuori"
🤤,"Drooling Face","Cara babeando","Visage baveux","Sabberndes Gesicht","Faccina che sbava"
😒,"Unamused Face","Cara poco impresionada","Visage peu impressionné","Gelangweiltes Gesicht","Faccina poco impressionata"
😓,"Downcast Face With Sweat","Cara abatida con sudor","Visage abattu avec sueur","Niedergeschlagenes Gesicht mit Schweiß","Faccina abbattuta con sudore"
😔,"Pensive Face","Cara pensativa","Visage pensif","Nachdenkliches Gesicht","Faccina pensierosa"
😕,"Confused Face","Cara confundida","Visage confus","Verwirrtes Gesicht","Faccina confusa"
🙃,"Upside-Down Face","Cara al revés","Visage à l'envers","Kopfüber-Gesicht","Faccina sottosopra"
🤑,"Money-Mouth Face","Cara con boca de dinero","Visage avec bouche en argent","Gesicht mit Geldmund","Faccina con bocca di soldi"
😲,"Astonished Face","Cara asombrada","Visage étonné","Erstauntes Gesicht","Faccina stupita"
☹,"Frowning Face","Cara frunciendo el ceño","Visage fronçant les sourcils","Stirnrunzelndes Gesicht","Faccina accigliata"
🙁,"Slightly Frowning Face","Cara ligeramente frunciendo el ceño","Visage légèrement fronçant les sourcils","Leicht stirnrunzelndes Gesicht","Faccina leggermente accigliata"
😖,"Confounded Face","Cara confundida","Visage confus","Verwirrtes Gesicht","Faccina confusa"
😞,"Disappointed Face","Cara decepcionada","Visage déçu","Enttäuschtes Gesicht","Faccina delusa"
😟,"Worried Face","Cara preocupada","Visage inquiet","Besorgtes Gesicht","Faccina preoccupata"
😤,"Face With Steam From Nose","Cara con vapor saliendo de la nariz","Visage avec vapeur sortant du nez","Gesicht mit Dampf aus der Nase","Faccina con vapore dal naso"
😢,"Crying Face","Cara llorando","Visage en pleurs","Weinendes Gesicht","Faccina che piange"
😭,"Loudly Crying Face","Cara llorando a lágrima viva","Visage pleurant à chaudes larmes","Laut weinendes Gesicht","Faccina che piange a dirotto"
😦,"Frowning Face With Open Mouth","Cara frunciendo el ceño con la boca abierta","Visage fronçant les sourcils avec bouche ouverte","Stirnrunzelndes Gesicht mit offenem Mund","Faccina accigliata con bocca aperta"
😧,"Anguished Face","Cara angustiada","Visage angoissé","Gequältes Gesicht","Faccina angosciata"
😨,"Fearful Face","Cara temerosa","Visage apeuré","Ängstliches Gesicht","Faccina spaventata"
😩,"Weary Face","Cara cansada","Visage fatigué","Ermüdetes Gesicht","Faccina stanca"
🤯,"Exploding Head","Cabeza explotando","Tête explosant","Explodierender Kopf","Testa che esplode"
😬,"Grimacing Face","Cara haciendo una mueca","Visage grimaçant","Gesicht mit Grimasse","Faccina con smorfia"
😰,"Anxious Face With Sweat","Cara ansiosa con sudor","Visage anxieux avec sueur","Ängstliches Gesicht mit Schweiß","Faccina ansiosa con sudore"
😱,"Face Screaming in Fear","Cara gritando de miedo","Visage criant de peur","Gesicht, das vor Angst schreit","Faccina che urla di paura"
😳,"Flushed Face","Cara sonrojada","Visage empourpré","Errötendes Gesicht","Faccina arrossita"
🤪,"Zany Face","Cara chiflada","Visage zinzin","Verrücktes Gesicht","Faccina stralunata"
😵,"Dizzy Face","Cara mareada","Visage étourdi","Schwindeliges Gesicht","Faccina stordita"
😡,"Pouting Face","Cara enfurruñada","Visage boudeur","Schmollendes Gesicht","Faccina imbronciata"
😠,"Angry Face","Cara enojada","Visage en colère","Wütendes Gesicht","Faccina arrabbiata"
🤬,"Face With Symbols on Mouth","Cara con símbolos en la boca","Visage avec symboles sur la bouche","Gesicht mit Symbolen auf dem Mund","Faccina con simboli sulla bocca"
😷,"Face With Medical Mask","Cara con mascarilla médica","Visage avec masque médical","Gesicht mit medizinischer Maske","Faccina con mascherina medica"
🤒,"Face With Thermometer","Cara con termómetro","Visage avec thermomètre","Gesicht mit Thermometer","Faccina con termometro"
🤕,"Face With Head-Bandage","Cara con vendaje en la cabeza","Visage avec bandage sur la tête","Gesicht mit Kopfverband","Faccina con benda sulla testa"
🤢,"Nauseated Face","Cara con náuseas","Visage nauséeux","Gesicht mit Übelkeit","Faccina nauseata"
🤮,"Face Vomiting","Cara vomitando","Visage vomissant","Gesicht, das sich übergibt","Faccina che vomita"
🤧,"Sneezing Face","Cara estornudando","Visage éternuant","Niesendes Gesicht","Faccina che starnutisce"
😇,"Smiling Face With Halo","Cara sonriente con aureola","Visage souriant avec auréole","Lächelndes Gesicht mit Heiligenschein","Faccina sorridente con aureola"
🤠,"Cowboy Hat Face","Cara con sombrero de vaquero","Visage avec chapeau de cowboy","Gesicht mit Cowboyhut","Faccina con cappello da cowboy"
🤡,"Clown Face","Cara de payaso","Visage de clown","Clownsgesicht","Faccina da clown"
🤥,"Lying Face","Cara mintiendo","Visage menteur","Lügengesicht","Faccina che mente"
🤫,"Shushing Face","Cara haciendo callar","Visage chut","Gesicht, das jemanden zum Schweigen bringt","Faccina che zittisce"
🤭,"Face With Hand Over Mouth","Cara con mano sobre la boca","Visage avec main sur la bouche","Gesicht mit Hand vor dem Mund","Faccina con mano sulla bocca"
🧐,"Face With Monocle","Cara con monóculo","Visage avec monocle","Gesicht mit Monokel","Faccina con monocolo"
🤓,"Nerd Face","Cara de nerd","Visage de nerd","Nerd-Gesicht","Faccina da nerd"
😈,"Smiling Face With Horns","Cara sonriente con cuernos","Visage souriant avec cornes","Lächelndes Gesicht mit Hörnern","Faccina sorridente con corna"
👿,"Angry Face With Horns","Cara enojada con cuernos","Visage en colère avec cornes","Wütendes Gesicht mit Hörnern","Faccina arrabbiata con corna"
👹,"Ogre","Ogro","Ogre","Oger","Orco"
👺,"Goblin","Duende","Gobelin","Kobold","Goblin"
💀,"Skull","Calavera","Crâne","Totenkopf","Teschio"
👻,"Ghost","Fantasma","Fantôme","Geist","Fantasma"
👽,"Alien","Extraterrestre","Extraterrestre","Außerirdischer","Alieno"
🤖,"Robot Face","Cara de robot","Visage de robot","Robotergesicht","Faccina da robot"
💩,"Pile of Poo","Montón de caca","Tas de caca","Haufen Kot","Mucchio di cacca"
😺,"Grinning Cat Face","Cara de gato sonriente","Visage de chat souriant","Lächelndes Katzen-Gesicht","Faccina di gatto sorridente"
😸,"Grinning Cat Face With Smiling Eyes","Cara de gato sonriente con ojos sonrientes","Visage de chat souriant avec yeux souriants","Lächelndes Katzen-Gesicht mit lächelnden Augen","Faccina di gatto sorridente con occhi sorridenti"
😹,"Cat Face With Tears of Joy","Cara de gato con lágrimas de alegría","Visage de chat avec larmes de joie","Katzen-Gesicht mit Freudentränen","Faccina di gatto con lacrime di gioia"
😻,"Smiling Cat Face With Heart-Eyes","Cara de gato sonriente con ojos de corazón","Visage de chat souriant avec yeux en forme de cœur","Lächelndes Katzen-Gesicht mit Herzaugen","Faccina di gatto sorridente con occhi a cuore"
😼,"Cat Face With Wry Smile","Cara de gato con sonrisa irónica","Visage de chat avec sourire ironique","Katzen-Gesicht mit ironischem Lächeln","Faccina di gatto con sorriso ironico"
😽,"Kissing Cat Face","Cara de gato besando","Visage de chat embrassant","Küssendes Katzen-Gesicht","Faccina di gatto che bacia"
🙀,"Weary Cat Face","Cara de gato cansado","Visage de chat fatigué","Müdes Katzen-Gesicht","Faccina di gato stanco"
😿,"Crying Cat Face","Cara de gato llorando","Visage de chat en pleurs","Weinendes Katzen-Gesicht","Faccina di gatto che piange"
😾,"Pouting Cat Face","Cara de gato enfurruñado","Visage de chat boudeur","Schmollendes Katzen-Gesicht","Faccina di gatto imbronciato"
👶,"Baby","Bebé","Bébé","Baby","Bambino"
👦,"Boy","Niño","Garçon","Junge","Ragazzo"
👧,"Girl","Niña","Fille","Mädchen","Ragazza"
👨,"Man","Hombre","Homme","Mann","Uomo"
👩,"Woman","Mujer","Femme","Frau","Donna"
👴,"Old Man","Hombre mayor","Vieil homme","Alter Mann","Uomo anziano"
👵,"Old Woman","Mujer mayor","Vieille femme","Alte Frau","Donna anziana"
👨‍⚕️,"Man Health Worker","Trabajador de la salud hombre","Homme travaillant dans la santé","Mann im Gesundheitswesen","Uomo operatore sanitario"
👩‍⚕️,"Woman Health Worker","Trabajadora de la salud mujer","Femme travaillant dans la santé","Frau im Gesundheitswesen","Donna operatrice sanitaria"
👨‍🎓,"Man Student","Estudiante hombre","Étudiant homme","Männlicher Student","Uomo studente"
👩‍🎓,"Woman Student","Estudiante mujer","Étudiante femme","Weiblicher Student","Donna studentessa"
👨‍⚖️,"Man Judge","Juez hombre","Juge homme","Männlicher Richter","Uomo giudice"
👩‍⚖️,"Woman Judge","Jueza mujer","Juge femme","Weiblicher Richter","Donna giudice"
👨‍🌾,"Man Farmer","Agricultor hombre","Agriculteur homme","Männlicher Bauer","Uomo contadino"
👩‍🌾,"Woman Farmer","Agricultora mujer","Agricultrice femme","Weiblicher Bauer","Donna contadina"
👨‍🍳,"Man Cook","Cocinero hombre","Cuisinier homme","Männlicher Koch","Uomo cuoco"
👩‍🍳,"Woman Cook","Cocinera mujer","Cuisinière femme","Weiblicher Koch","Donna cuoca"
👨‍🔧,"Man Mechanic","Mecánico hombre","Mécanicien homme","Männlicher Mechaniker","Uomo meccanico"
👩‍🔧,"Woman Mechanic","Mecánica mujer","Mécanicienne femme","Weiblicher Mechaniker","Donna meccanica"
👨‍🏭,"Man Factory Worker","Trabajador de fábrica hombre","Ouvrier d'usine homme","Männlicher Fabrikarbeiter","Uomo operaio di fabbrica"
👩‍🏭,"Woman Factory Worker","Trabajadora de fábrica mujer","Ouvrière d'usine femme","Weiblicher Fabrikarbeiter","Donna operaia di fabbrica"
👨‍💼,"Man Office Worker","Trabajador de oficina hombre","Employé de bureau homme","Männlicher Büroangestellter","Uomo impiegato"
👩‍💼,"Woman Office Worker","Trabajadora de oficina mujer","Employée de bureau femme","Weiblicher Büroangestellter","Donna impiegata"
👨‍🔬,"Man Scientist","Científico hombre","Scientifique homme","Männlicher Wissenschaftler","Uomo scienziato"
👩‍🔬,"Woman Scientist","Científica mujer","Scientifique femme","Weiblicher Wissenschaftler","Donna scienziata"
👨‍💻,"Man Technologist","Tecnólogo hombre","Technologue homme","Männlicher Technologe","Uomo tecnologo"
👩‍💻,"Woman Technologist","Tecnóloga mujer","Technologue femme","Weiblicher Technologe","Donna tecnologa"
👨‍🎤,"Man Singer","Cantante hombre","Chanteur homme","Männlicher Sänger","Uomo cantante"
👩‍🎤,"Woman Singer","Cantante mujer","Chanteuse femme","Weiblicher Sänger","Donna cantante"
👨‍🎨,"Man Artist","Artista hombre","Artiste homme","Männlicher Künstler","Uomo artista"
👩‍🎨,"Woman Artist","Artista mujer","Artiste femme","Weiblicher Künstler","Donna artista"
👨‍✈️,"Man Pilot","Piloto hombre","Pilote homme","Männlicher Pilot","Uomo pilota"
👩‍✈️,"Woman Pilot","Pilota mujer","Pilote femme","Weiblicher Pilot","Donna pilota"
👨‍🚀,"Man Astronaut","Astronauta hombre","Astronaute homme","Männlicher Astronaut","Uomo astronauta"
👩‍🚀,"Woman Astronaut","Astronauta mujer","Astronaute femme","Weiblicher Astronaut","Donna astronauta"
👨‍🚒,"Man Firefighter","Bombero hombre","Pompier homme","Männlicher Feuerwehrmann","Uomo pompiere"
👩‍🚒,"Woman Firefighter","Bombera mujer","Pompière femme","Weiblicher Feuerwehrmann","Donna pompiera"
👮,"Police Officer","Oficial de policía","Agent de police","Polizeibeamter","Agente di polizia"
👮‍♂️,"Man Police Officer","Oficial de policía hombre","Agent de police homme","Männlicher Polizeibeamter","Agente di polizia uomo"
👮‍♀️,"Woman Police Officer","Oficial de policía mujer","Agente de police femme","Weiblicher Polizeibeamter","Agente di polizia donna"
🕵,"Detective","Detective","Détective","Detektiv","Investigatore"
🕵️‍♂️,"Man Detective","Detective hombre","Détective homme","Männlicher Detektiv","Investigatore uomo"
🕵️‍♀️,"Woman Detective","Detective mujer","Détective femme","Weiblicher Detektiv","Investigatrice donna"
💂,"Guard","Guardia","Garde","Wache","Guardia"
💂‍♂️,"Man Guard","Guardia hombre","Garde homme","Männliche Wache","Guardia uomo"
💂‍♀️,"Woman Guard","Guardia mujer","Garde femme","Weibliche Wache","Guardia donna"
👷,"Construction Worker","Trabajador de la construcción","Ouvrier du bâtiment","Bauarbeiter","Operaio edile"
👷‍♂️,"Man Construction Worker","Trabajador de la construcción hombre","Ouvrier du bâtiment homme","Männlicher Bauarbeiter","Operaio edile uomo"
👷‍♀️,"Woman Construction Worker","Trabajadora de la construcción mujer","Ouvrière du bâtiment femme","Weiblicher Bauarbeiter","Operaia edile donna"
🤴,"Prince","Príncipe","Prince","Prinz","Principe"
👸,"Princess","Princesa","Princesse","Prinzessin","Principessa"
👳,"Person Wearing Turban","Persona con turbante","Personne portant un turban","Person mit Turban","Persona con turbante"
👳‍♂️,"Man Wearing Turban","Hombre con turbante","Homme portant un turban","Mann mit Turban","Uomo con turbante"
👳‍♀️,"Woman Wearing Turban","Mujer con turbante","Femme portant un turban","Frau mit Turban","Donna con turbante"
👲,"Man With Chinese Cap","Hombre con gorro chino","Homme avec chapeau chinois","Mann mit chinesischer Mütze","Uomo con cappello cinese"
🧕,"Woman With Headscarf","Mujer con pañuelo","Femme avec foulard","Frau mit Kopftuch","Donna con velo"
🧔,"Bearded Person","Persona con barba","Personne barbue","Person mit Bart","Persona con barba"
👱,"Blond-Haired Person","Persona rubia","Personne blonde","Blonde Person","Persona bionda"
👱‍♂️,"Blond-Haired Man","Hombre rubio","Homme blond","Blonder Mann","Uomo biondo"
👱‍♀️,"Blond-Haired Woman","Mujer rubia","Femme blonde","Blonde Frau","Donna bionda"
🤵,"Man in Tuxedo","Hombre con esmoquin","Homme en smoking","Mann im Smoking","Uomo in smoking"
👰,"Bride With Veil","Novia con velo","Mariée avec voile","Braut mit Schleier","Sposa con velo"
🤰,"Pregnant Woman","Mujer embarazada","Femme enceinte","Schwangere Frau","Donna incinta"
🤱,"Breast-Feeding","Amamantando","Allaitement","Stillen","Allattamento al seno"
👼,"Baby Angel","Bebé ángel","Bébé ange","Baby-Engel","Bambino angelo"
🎅,"Santa Claus","Papá Noel","Père Noël","Weihnachtsmann","Babbo Natale"
🤶,"Mrs. Claus","Mamá Noel","Mère Noël","Frau Weihnachtsmann","Mamma Natale"
🧙‍♀️,"Woman Mage","Maga mujer","Magicienne femme","Zauberin","Maga donna"
🧙‍♂️,"Man Mage","Mago hombre","Magicien homme","Zauberer","Mago uomo"
🧚‍♀️,"Woman Fairy","Hada mujer","Fée femme","Fee","Fata donna"
🧚‍♂️,"Man Fairy","Hada hombre","Fée homme","Fee","Fata uomo"
🧛‍♀️,"Woman Vampire","Vampira mujer","Vampire femme","Vampirin","Vampira donna"
🧛‍♂️,"Man Vampire","Vampiro hombre","Vampire homme","Vampir","Vampiro uomo"
🧜‍♀️,"Mermaid","Sirena","Sirène","Meerjungfrau","Sirena"
🧜‍♂️,"Merman","Tritón","Triton","Meermann","Tritone"
🧝‍♀️,"Woman Elf","Elfa mujer","Elfe femme","Elfin","Elfa donna"
🧝‍♂️,"Man Elf","Elfo hombre","Elfe homme","Elf","Elfo uomo"
🧞‍♀️,"Woman Genie","Genio mujer","Génie femme","Flaschengeist","Genio donna"
🧞‍♂️,"Man Genie","Genio hombre","Génie homme","Flaschengeist","Genio uomo"
🧟‍♀️,"Woman Zombie","Zombi mujer","Zombie femme","Zombie","Zombie donna"
🧟‍♂️,"Man Zombie","Zombi hombre","Zombie homme","Zombie","Zombie uomo"
🙍,"Person Frowning","Persona frunciendo el ceño","Personne fronçant les sourcils","Person mit Stirnrunzeln","Persona accigliata"
🙍‍♂️,"Man Frowning","Hombre frunciendo el ceño","Homme fronçant les sourcils","Mann mit Stirnrunzeln","Uomo accigliato"
🙍‍♀️,"Woman Frowning","Mujer frunciendo el ceño","Femme fronçant les sourcils","Frau mit Stirnrunzeln","Donna accigliata"
🙎,"Person Pouting","Persona haciendo pucheros","Personne boudeuse","Person, die schmollt","Persona imbronciata"
🙎‍♂️,"Man Pouting","Hombre haciendo pucheros","Homme boudeur","Mann, der schmollt","Uomo imbronciato"
🙎‍♀️,"Woman Pouting","Mujer haciendo pucheros","Femme boudeuse","Frau, die schmollt","Donna imbronciata"
🙅,"Person Gesturing No","Persona gesticulando que no","Personne gesticulant non","Person, die Nein gestikuliert","Persona che gesticola no"
🙅‍♂️,"Man Gesturing No","Hombre gesticulando que no","Homme gesticulant non","Mann, der Nein gestikuliert","Uomo che gesticola no"
🙅‍♀️,"Woman Gesturing No","Mujer gesticulando que no","Femme gesticulant non","Frau, die Nein gestikuliert","Donna che gesticola no"
🙆,"Person Gesturing OK","Persona gesticulando OK","Personne gesticulant OK","Person, die OK gestikuliert","Persona che gesticola OK"
🙆‍♂️,"Man Gesturing OK","Hombre gesticulando OK","Homme gesticulant OK","Mann, der OK gestikuliert","Uomo che gesticola OK"
🙆‍♀️,"Woman Gesturing OK","Mujer gesticulando OK","Femme gesticulant OK","Frau, die OK gestikuliert","Donna che gesticola OK"
💁,"Person Tipping Hand","Persona con la mano en la barbilla","Personne avec la main sur le menton","Person mit Hand am Kinn","Persona con la mano sul mento"
💁‍♂️,"Man Tipping Hand","Hombre con la mano en la barbilla","Homme avec la main sur le menton","Mann mit Hand am Kinn","Uomo con la mano sul mento"
💁‍♀️,"Woman Tipping Hand","Mujer con la mano en la barbilla","Femme avec la main sur le menton","Frau mit Hand am Kinn","Donna con la mano sul mento"
🙋,"Person Raising Hand","Persona levantando la mano","Personne levant la main","Person, die die Hand hebt","Persona che alza la mano"
🙋‍♂️,"Man Raising Hand","Hombre levantando la mano","Homme levant la main","Mann, der die Hand hebt","Uomo che alza la mano"
🙋‍♀️,"Woman Raising Hand","Mujer levantando la mano","Femme levant la main","Frau, die die Hand hebt","Donna che alza la mano"
🙇,"Person Bowing","Persona inclinándose","Personne s'inclinant","Person, die sich verbeugt","Persona che si inchina"
🙇‍♂️,"Man Bowing","Hombre inclinándose","Homme s'inclinant","Mann, der sich verbeugt","Uomo che si inchina"
🙇‍♀️,"Woman Bowing","Mujer inclinándose","Femme s'inclinant","Frau, die sich verbeugt","Donna che si inchina"
🤦,"Person Facepalming","Persona tapándose la cara","Personne se tapant le visage","Person, die sich die Hand vors Gesicht schlägt","Persona che si copre il viso"
🤦‍♂️,"Man Facepalming","Hombre tapándose la cara","Homme se tapant le visage","Mann, der sich die Hand vors Gesicht schlägt","Uomo che si copre il viso"
🤦‍♀️,"Woman Facepalming","Mujer tapándose la cara","Femme se tapant le visage","Frau, die sich die Hand vors Gesicht schlägt","Donna che si copre il viso"
🤷,"Person Shrugging","Persona encogiéndose de hombros","Personne haussant les épaules","Person, die mit den Schultern zuckt","Persona che fa spallucce"
🤷‍♂️,"Man Shrugging","Hombre encogiéndose de hombros","Homme haussant les épaules","Mann, der mit den Schultern zuckt","Uomo che fa spallucce"
🤷‍♀️,"Woman Shrugging","Mujer encogiéndose de hombros","Femme haussant les épaules","Frau, die mit den Schultern zuckt","Donna che fa spallucce"
💆,"Person Getting Massage","Persona recibiendo un masaje","Personne recevant un massage","Person, die eine Massage bekommt","Persona che riceve un massaggio"
💆‍♂️,"Man Getting Massage","Hombre recibiendo un masaje","Homme recevant un massage","Mann, der eine Massage bekommt","Uomo che riceve un massaggio"
💆‍♀️,"Woman Getting Massage","Mujer recibiendo un masaje","Femme recevant un massage","Frau, die eine Massage bekommt","Donna che riceve un massaggio"
💇,"Person Getting Haircut","Persona cortándose el pelo","Personne se faisant couper les cheveux","Person, die sich die Haare schneiden lässt","Persona che si taglia i capelli"
💇‍♂️,"Man Getting Haircut","Hombre cortándose el pelo","Homme se faisant couper les cheveux","Mann, der sich die Haare schneiden lässt","Uomo che si taglia i capelli"
💇‍♀️,"Woman Getting Haircut","Mujer cortándose el pelo","Femme se faisant couper les cheveux","Frau, die sich die Haare schneiden lässt","Donna che si taglia i capelli"
🚶,"Person Walking","Persona caminando","Personne marchant","Person, die geht","Persona che cammina"
🚶‍♂️,"Man Walking","Hombre caminando","Homme marchant","Mann, der geht","Uomo che cammina"
🚶‍♀️,"Woman Walking","Mujer caminando","Femme marchant","Frau, die geht","Donna che cammina"
🏃,"Person Running","Persona corriendo","Personne courant","Person, die läuft","Persona che corre"
🏃‍♂️,"Man Running","Hombre corriendo","Homme courant","Mann, der läuft","Uomo che corre"
🏃‍♀️,"Woman Running","Mujer corriendo","Femme courant","Frau, die läuft","Donna che corre"
💃,"Woman Dancing","Mujer bailando","Femme dansant","Frau, die tanzt","Donna che balla"
🕺,"Man Dancing","Hombre bailando","Homme dansant","Mann, der tanzt","Uomo che balla"
👯,"People With Bunny Ears","Personas con orejas de conejo","Personnes avec des oreilles de lapin","Personen mit Hasenohren","Persone con orecchie da coniglio"
👯‍♂️,"Men With Bunny Ears","Hombres con orejas de conejo","Hommes avec des oreilles de lapin","Männer mit Hasenohren","Uomini con orecchie da coniglio"
👯‍♀️,"Women With Bunny Ears","Mujeres con orejas de conejo","Femmes avec des oreilles de lapin","Frauen mit Hasenohren","Donne con orecchie da coniglio"
🧖‍♀️,"Woman in Steamy Room","Mujer en sala de vapor","Femme dans une salle de vapeur","Frau im Dampfbad","Donna nella sala vapore"
🧖‍♂️,"Man in Steamy Room","Hombre en sala de vapor","Homme dans une salle de vapeur","Mann im Dampfbad","Uomo nella sala vapore"
🕴,"Man in Suit Levitating","Hombre con traje levitando","Homme en costume lévitant","Mann im Anzug, der schwebt","Uomo in giacca e cravatta che levita"
🗣,"Speaking Head","Cabeza hablando","Tête parlante","Sprechender Kopf","Testa parlante"
👤,"Bust in Silhouette","Silueta de busto","Silhouette de buste","Silhouette eines Oberkörpers","Silhouette di un busto"
👥,"Busts in Silhouette","Siluetas de bustos","Silhouettes de bustes","Silhouetten von Oberkörpern","Silhouette di busti"
👫,"Man and Woman Holding Hands","Hombre y mujer tomados de la mano","Homme et femme se tenant par la main","Mann und Frau Hand in Hand","Uomo e donna che si tengono per mano"
👬,"Two Men Holding Hands","Dos hombres tomados de la mano","Deux hommes se tenant par la main","Zwei Männer Hand in Hand","Due uomini che si tengono per mano"
👭,"Two Women Holding Hands","Dos mujeres tomadas de la mano","Deux femmes se tenant par la main","Zwei Frauen Hand in Hand","Due donne che si tengono per mano"
💏,"Kiss","Beso","Baiser","Kuss","Bacio"
